work_id,label
bachjs-bwv1001-bwv-1001-2-bwv-1001-2,fugue
bachjs-bwv1003-bwv-1003-2-bwv-1003-2,fugue
bachjs-bwv1004-bwv-1004-5-bwv-1004-5,passacaglia
bachjs-bwv846-wtk1-fugue1-wtk1-fugue1,fugue
bachjs-bwv847-fuga2-fuga2,fugue
bachjs-bwv850-bwv850b-lys-bwv850b,fugue
bachjs-bwv851-bwv851-fugue06-bwv851-fugue06,fugue
bachjs-bwv856-bwv856-fugue11-bwv856-fugue11,fugue
bachjs-bwv857-bwv857-fuga12-bwv857-fuga12,fugue
bachjs-bwv860-bwv860-fuga15-bwv860-fuga15,fugue
bachjs-bwv861-bwv861-fuga16-bwv861-fuga16,fugue
bachjs-bwv862-bach-fugue17-bach-fugue17,fugue
bachjs-bwv865-bwv865-fuga20-bwv865-fuga20,fugue
bachjs-bwv869-bwv869b-lys-bwv869b,fugue
bachjs-bwv870-wtk2fuga1-wtk2fuga1,fugue
bachjs-bwv871-wtk2-fugue2-wtk2-fugue2,fugue
bachjs-bwv848-bwv848b-bwv848b,fugue
bachjs-bwv849-bwv849b-bwv849b,fugue
bachjs-bwv853-bwv853b-bwv853b,fugue
bachjs-bwv855-bwv855b-bwv855b,fugue
bachjs-bwv878-f9-f9,fugue
