work_id,label
bachjs-bwv1001-bwv-1001-3-bwv-1001-3,siciliana
bachjs-bwv1004-bwv-1004-1-bwv-1004-1,allemande
bachjs-bwv1004-bwv-1004-2-bwv-1004-2,courante
bachjs-bwv1004-bwv-1004-4-giga-bwv-1004-4-giga,gigue
bachjs-bwv1006-bwv-1006-3-bwv-1006-3,gavotte
bachjs-bwv1006-bwv-1006-4-bwv-1006-4,minuet
bachjs-bwv1006-bwv-1006-5-bwv-1006-5,minuet
bachjs-bwv1006-bwv-1006-6-bwv-1006-6,bourree
bachjs-bwv1006-bwv-1006-7-bwv-1006-7,gigue
bachjs-bwv1006a-bwv-1006a-3-bwv-1006a-3,gavotte
bachjs-bwv1006a-bwv-1006a-3g-bwv-1006a-3g,gavotte
bachjs-bwv1006a-bwv-1006a-4-bwv-1006a-4,minuet
bachjs-bwv1006a-bwv-1006a-4g-bwv-1006a-4g,minuet
bachjs-bwv1006a-bwv-1006a-5-bwv-1006a-5,minuet
bachjs-bwv1006a-bwv-1006a-5g-bwv-1006a-5g,minuet
bachjs-bwv1006a-bwv-1006a-6-bwv-1006a-6,bourree
bachjs-bwv1006a-bwv-1006a-6g-bwv-1006a-6g,bourree
bachjs-bwv1006a-bwv-1006a-7-bwv-1006a-7,gigue
bachjs-bwv1006a-bwv-1006a-7g-bwv-1006a-7g,gigue
bachjs-bwv1012-bwv-1012-2-bwv-1012-2,allemande
bachjs-bwv1012-bwv-1012-3-bwv-1012-3,courante
bachjs-bwv1012-bwv-1012-4-bwv-1012-4,sarabande
bachjs-bwv1012-bwv-1012-5-1-bwv-1012-5-1,gavotte
bachjs-bwv1012-bwv-1012-5-2-bwv-1012-5-2,gavotte
bachjs-bwv1012-bwv-1012-6-bwv-1012-6,gigue
