work_id,composer,title,year,source,source_url,license,movement_index,parent_work_id,instrumentation_hint,era
bachjs-bwv1001-bwv-1001-1-bwv-1001-1,BachJS,BWV 1001 Adagio,1720,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1001/bwv-1001_1/bwv-1001_1.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1001,Violine,baroque
bachjs-bwv1001-bwv-1001-2-bwv-1001-2,BachJS,BWV 1001 Fuga,1720,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1001/bwv-1001_2/bwv-1001_2.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1001,Violine,baroque
bachjs-bwv1001-bwv-1001-3-bwv-1001-3,BachJS,BWV 1001 Siciliano,1720,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1001/bwv-1001_3/bwv-1001_3.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1001,Violine,baroque
bachjs-bwv1001-bwv-1001-4-bwv-1001-4,BachJS,BWV 1001 Presto,1720,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1001/bwv-1001_4/bwv-1001_4.ly,Creative Commons Attribution-ShareAlike 3.0,,bachjs-bwv1001,Violine,baroque
bachjs-bwv1002-partita-1-lys-1-cello,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/1-cello.ly,Public Domain,,bachjs-bwv1002,,
bachjs-bwv1002-partita-1-lys-1-viola,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/1-viola.ly,Public Domain,,bachjs-bwv1002,,
bachjs-bwv1002-partita-1-lys-1-violin,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/1-violin.ly,Public Domain,,bachjs-bwv1002,,
bachjs-bwv1002-partita-1-lys-2-cello,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/2-cello.ly,Public Domain,,bachjs-bwv1002,,
bachjs-bwv1002-partita-1-lys-2-viola,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/2-viola.ly,Public Domain,,bachjs-bwv1002,,
bachjs-bwv1002-partita-1-lys-2-violin,,BWV1002 partita-1-lys,,mutopia,https://www.mutopiaproject.org/ftp/BachJS/BWV1002/partita-1/partita-1-lys/2-violin.ly,Public Domain,,bachjs-bwv1002,,
