taxonomy,encoder,n_labeled,n_classes,knn_purity_k5,kmeans_ari,kmeans_nmi
compositional_device,audio_mert95,21,2,0.933,-0.05,0.012
compositional_device,audio_mert330,21,2,0.924,-0.062,0.036
compositional_device,audio_muq,21,2,0.933,-0.062,0.036
dance_type,audio_mert95,26,8,0.108,-0.049,0.419
dance_type,audio_mert330,26,8,0.062,-0.03,0.431
dance_type,audio_muq,26,8,0.185,0.025,0.494
instrumentation,audio_mert95,172,8,0.717,0.292,0.45
instrumentation,audio_mert330,172,8,0.728,0.195,0.372
instrumentation,audio_muq,172,8,0.72,0.247,0.395
national_school,audio_mert95,179,4,0.803,-0.043,0.147
national_school,audio_mert330,179,4,0.791,0.001,0.173
national_school,audio_muq,179,4,0.83,0.116,0.205
opus_cycle,audio_mert95,157,8,0.685,0.338,0.544
opus_cycle,audio_mert330,157,8,0.701,0.25,0.459
opus_cycle,audio_muq,157,8,0.692,0.268,0.473
